Date,IHSG,USD_IDR,Gold,SP500
2010-01-01,2575.31298828125,9385.599609375,1117.699951171875,1132.989990234375
2010-01-04,2575.31298828125,9364.2001953125,1117.699951171875,1132.989990234375
2010-01-05,2605.175537109375,9305.2001953125,1118.0999755859375,1136.52001953125
2010-01-06,2603.195556640625,9218.099609375,1135.9000244140625,1137.1400146484375
2010-01-07,2586.794189453125,9272.5,1133.0999755859375,1141.68994140625
2010-01-08,2614.268310546875,9212.7001953125,1138.199951171875,1144.97998046875
2010-01-11,2632.1015625,9148.099609375,1150.699951171875,1146.97998046875
2010-01-12,2659.447265625,9171.0,1128.9000244140625,1136.219970703125
2010-01-13,2632.76953125,9141.0,1136.4000244140625,1145.6800537109375
2010-01-14,2645.077880859375,9155.7998046875,1142.5999755859375,1148.4599609375
2010-01-15,2646.987060546875,9226.099609375,1130.0999755859375,1136.030029296875
2010-01-18,2642.445068359375,9130.0,1130.0999755859375,1136.030029296875
2010-01-19,2665.96728515625,9229.9501953125,1139.699951171875,1150.22998046875
2010-01-20,2667.162353515625,9294.9501953125,1112.300048828125,1138.0400390625
2010-01-21,2638.279541015625,9183.0,1102.699951171875,1116.47998046875
2010-01-22,2610.238525390625,9240.0,1089.199951171875,1091.760009765625
2010-01-25,2597.759033203125,9319.9501953125,1095.199951171875,1096.780029296875
2010-01-26,2578.314697265625,9379.9501953125,1097.9000244140625,1092.1700439453125
2010-01-27,2564.454345703125,9399.9501953125,1084.4000244140625,1097.5
2010-01-28,2619.463134765625,9324.9501953125,1083.5999755859375,1084.530029296875
2010-01-29,2610.6943359375,9250.0,1083.0,1073.8699951171875
2010-02-01,2587.4482421875,9256.400390625,1104.300048828125,1089.18994140625
2010-02-02,2580.150634765625,9313.7001953125,1117.4000244140625,1103.3199462890625
2010-02-03,2604.447509765625,9364.599609375,1111.4000244140625,1097.280029296875
2010-02-04,2593.119140625,9386.900390625,1062.4000244140625,1063.1099853515625
2010-02-05,2518.878173828125,9468.099609375,1052.199951171875,1066.18994140625
2010-02-08,2475.4755859375,9484.5,1065.699951171875,1056.739990234375
2010-02-09,2489.388427734375,9339.2998046875,1076.699951171875,1070.52001953125
2010-02-10,2483.34130859375,9314.400390625,1075.800048828125,1068.1300048828125
2010-02-11,2507.653564453125,9330.099609375,1094.199951171875,1078.469970703125
2010-02-12,2534.038330078125,9323.7001953125,1089.5,1075.510009765625
2010-02-15,2517.358154296875,9344.7998046875,1089.5,1075.510009765625
2010-02-16,2558.4052734375,9292.900390625,1119.300048828125,1094.8699951171875
2010-02-17,2581.23974609375,9400.599609375,1119.5,1099.510009765625
2010-02-18,2559.934326171875,9499.7998046875,1118.0,1106.75
2010-02-19,2554.2763671875,9292.2001953125,1121.300048828125,1109.1700439453125
2010-02-22,2564.163330078125,9281.7001953125,1112.5999755859375,1108.010009765625
2010-02-23,2583.550048828125,9341.7998046875,1102.699951171875,1094.5999755859375
2010-02-24,2579.315673828125,9352.2998046875,1096.5,1105.239990234375
2010-02-25,2548.933837890625,9335.2001953125,1107.800048828125,1102.93994140625
2010-02-26,2548.933837890625,9340.0,1118.300048828125,1104.489990234375
2010-03-01,2554.574462890625,9385.099609375,1117.800048828125,1115.7099609375
2010-03-02,2576.490966796875,9184.400390625,1136.9000244140625,1118.31005859375
2010-03-03,2566.9892578125,9149.2998046875,1142.699951171875,1118.7900390625
2010-03-04,2565.545166015625,9328.900390625,1132.5999755859375,1122.969970703125
2010-03-05,2578.671630859375,8898.400390625,1134.800048828125,1138.699951171875
2010-03-08,2626.3486328125,9180.0,1123.5999755859375,1138.5
2010-03-09,2657.0634765625,9173.099609375,1122.0,1140.449951171875
2010-03-10,2670.114990234375,9169.900390625,1107.800048828125,1145.6099853515625
2010-03-11,2676.41796875,9152.900390625,1108.0,1150.239990234375
2010-03-12,2666.4072265625,9144.7001953125,1101.5,1149.989990234375
2010-03-15,2669.504150390625,9205.900390625,1105.0999755859375,1150.510009765625
2010-03-16,2669.504150390625,9151.7998046875,1122.199951171875,1159.4599609375
2010-03-17,2756.15478515625,9099.5,1124.0,1166.2099609375
2010-03-18,2737.13525390625,9120.2998046875,1127.4000244140625,1165.8299560546875
2010-03-19,2742.8671875,9110.400390625,1107.4000244140625,1159.9000244140625
2010-03-22,2702.295654296875,9115.400390625,1099.300048828125,1165.81005859375
2010-03-23,2720.756103515625,9144.599609375,1103.5,1174.1700439453125
2010-03-24,2774.741943359375,9114.7001953125,1088.5999755859375,1167.719970703125
2010-03-25,2799.0400390625,9132.599609375,1092.699951171875,1165.72998046875
2010-03-26,2812.97265625,9112.900390625,1104.199951171875,1166.5899658203125
2010-03-29,2794.662109375,9073.0,1110.300048828125,1173.219970703125
2010-03-30,2798.1591796875,9075.400390625,1104.5,1173.27001953125
2010-03-31,2777.19287109375,9103.0,1113.300048828125,1169.4300537109375
2010-04-01,2829.885986328125,9041.400390625,1125.0999755859375,1178.0999755859375
2010-04-02,2829.885986328125,9094.900390625,1125.0999755859375,1178.0999755859375
2010-04-05,2887.1337890625,9052.7998046875,1132.9000244140625,1187.43994140625
2010-04-06,2880.85693359375,9037.2998046875,1135.0999755859375,1189.43994140625
2010-04-07,2898.46923828125,9054.5,1152.300048828125,1182.449951171875
2010-04-08,2850.722900390625,9057.7001953125,1152.199951171875,1186.43994140625
2010-04-09,2844.900390625,8992.900390625,1161.0999755859375,1194.3699951171875
2010-04-12,2881.220947265625,9011.0,1161.5999755859375,1196.47998046875
